fund,benchmark,n_months,IR,t_stat,ann_vol_fund,ann_vol_bench,tracking_error,hit_rate,up_capture,down_capture,cum_excess_pct,current_L,pct_h,ALARM,n_alarms,first_alarm
Fidelity Asia Eq ESG A-Acc-USD,MSCI AC Asia Ex Japan NR USD,236,-0.0445,-0.1975,20.82,20.64,4.52,51.3,98.4,98.6,-4.43,1.9135,9.7,True,6,2008-08
Amova Japan Equity SGD,TOPIX TR JPY,448,0.2121,1.2957,19.72,19.31,9.49,50.4,98.5,89.6,105.99,1.6898,8.5,True,9,1994-01
Schroder Multi-Asset Revolt 30 A SGD Acc,FTSE WGBI Hdg SGD [70.00%]; MSCI World NR USD [30.00%],179,-0.5623,-2.1718,8.61,8.21,2.28,44.1,94.1,105.5,-17.77,1.6354,8.3,True,7,2013-03
JPM Latin America Equity A acc USD,MSCI EM Latin America NR USD,254,-0.0257,-0.1181,26.73,26.87,6.86,51.6,94.9,93.7,-3.11,1.4758,7.4,True,4,2008-04
BGF Global High Yield Bond A2,ICE BofA Gbl HY Constnd TR HUSD,227,-0.6937,-3.017,9.26,9.24,2.32,38.3,91.7,105.9,-26.25,1.2333,6.2,True,10,2009-05
JPMorgan Pacific Tech (acc) - USD,MSCI AC AP Tech 100 Equal Weight NR USD,213,0.3162,1.3323,22.12,20.65,12.25,54.9,100.8,84.2,88.7,1.1996,6.1,True,4,2009-11
Franklin Gold and Prec Mtls A(acc)USD,FTSE Gold Mines TR USD,193,-0.0611,-0.2452,34.43,35.44,11.72,48.2,92.9,92.8,-5.87,1.1017,5.6,True,3,2017-05
Neuberger Berman EM DbtHrdCcy USD AMndis,JPM EMBI Global Diversified TR USD,139,0.2092,0.7121,10.1,9.76,3.25,55.4,98.9,91.9,7.7,1.0198,5.1,True,1,2021-11
Barings Global Emerging Mkts A Acc,MSCI EM NR EUR,184,-0.0955,-0.3738,19.35,17.85,4.45,50.5,102.9,106.1,-10.09,0.9784,4.9,True,5,2012-06
Neuberger Berman EM DbtHrdCcy USD A Acc,JPM EMBI Global Diversified TR USD,156,0.2319,0.8362,9.83,9.53,3.11,54.5,99.7,92.3,9.35,0.9433,4.8,True,1,2021-11
abrdn-Japan Sustainable Eqty A Acc JPY,MSCI Japan NR JPY,457,-0.2055,-1.2683,18.48,19.26,6.57,48.1,88.8,92.5,-36.69,0.8965,4.5,True,14,1991-08
Fidelity China Consumer A-Acc-USD,MSCI China NR USD,183,-0.1265,-0.4939,22.12,23.23,7.0,48.1,89.5,90.5,-9.35,0.8788,4.4,True,7,2014-12
Principal LSF China Eq,MSCI China NR USD,227,-0.3441,-1.4966,24.64,25.97,3.91,49.3,91.4,93.9,-17.71,0.8282,4.2,True,7,2011-12
Barings Global High Yield Bd G USD Acc,ICE BofA NFincl Dv Mkts HY Cstd TR USD,91,-0.0724,-0.1993,8.07,8.58,3.62,47.3,80.7,71.0,-1.71,0.7119,3.6,True,2,2020-04
Barings Global High Yield Bd G USD DisMn,ICE BofA NFincl Dv Mkts HY Cstd TR USD,91,-0.0716,-0.1971,8.07,8.58,3.62,48.4,80.7,71.0,-1.69,0.6761,3.4,True,2,2020-04
HSBC GIF Chinese Equity AD,MSCI China 10/40 NR USD,329,-0.0809,-0.4234,26.91,27.63,9.14,43.8,93.3,92.9,-14.71,0.6128,3.1,True,10,2002-09
Janus Henderson Glb Rl EstEqInc A2USD,FTSE EPRA Nareit Global REITs NR USD,211,0.0763,0.3201,18.61,18.93,5.9,53.1,93.1,87.9,9.92,0.4436,2.2,True,6,2011-02
Schroder ISF Asian Opports A1 Acc USD,MSCI AC Asia Ex Japan NR USD,329,-0.0567,-0.2968,21.13,20.87,4.44,45.0,99.4,100.2,-7.73,0.3135,1.6,True,9,2003-03
PineBridge Global Bond Y,Bloomberg Global Aggregate TR Hdg USD,400,-0.2118,-1.2227,6.1,3.32,4.57,47.5,104.3,149.3,-30.56,0.0324,0.2,True,13,1997-01
BGF Sustainable Energy A2,MSCI ACWI NR USD,301,-0.1737,-0.87,23.93,15.49,14.37,46.2,115.2,138.5,-65.59,0.0307,0.2,True,11,2002-01
Allianz Total Return Asian Eq AT USD,MSCI AC Asia Ex Japan NR USD,247,-0.043,-0.1951,21.19,20.45,5.21,49.8,100.6,101.9,-7.32,0.0,0.0,True,8,2007-12
Fidelity Asian Special Sits A-Acc-USD,MSCI AC Asia Ex Japan NR USD,236,0.1873,0.8307,20.79,20.64,4.78,49.6,99.8,95.7,18.98,0.0,0.0,True,5,2012-02
Capital Group GlbCorpBd (LUX) Bfdmh-CNH,Bloomberg Gbl Agg Corp 0901 TR Hdg USD,36,-0.3133,-0.5426,7.95,4.92,4.13,50.0,118.7,179.9,-4.33,0.0,0.0,True,1,2024-12
BOCHK Hong Kong Dollar Inc A,Markit iBoxx ALBI Hong Kong TR HKD,161,-0.1768,-0.6474,1.96,3.5,2.16,47.8,54.3,37.7,-4.46,0.0,0.0,True,4,2014-11
BNP Clean Energy Solutions C USD C,MSCI ACWI NR EUR,185,-0.1876,-0.7368,32.28,14.21,23.78,44.3,128.9,182.4,-73.23,0.0,0.0,True,9,2012-03
BGF Systematic Glbl Eq HiIncA8 H,MSCI ACWI Minimum Vol (USD) NR USD,136,0.0705,0.2374,14.5,10.32,7.64,54.4,112.5,116.1,0.24,0.0,0.0,True,5,2016-01
Barings ASEAN Frontiers A USD Inc,MSCI AC ASEAN NR USD,214,0.345,1.4568,20.4,18.55,5.97,53.3,109.4,101.9,34.56,0.0,0.0,True,4,2012-06
BGF Systematic Glbl Eq Hi Inc A2,MSCI ACWI Minimum Vol (USD) NR USD,235,-0.2369,-1.0484,13.74,10.9,6.01,46.4,101.4,114.8,-29.39,0.0,0.0,True,9,2008-08
BGF Systematic Glbl Eq Hi Inc A6,MSCI ACWI Minimum Vol (USD) NR USD,139,0.069,0.2349,11.65,10.22,5.28,50.4,99.2,95.2,2.43,0.0,0.0,True,5,2015-09
Allianz China A Shares AT USD,MSCI China A Onshore NR USD,206,0.4167,1.7265,24.24,24.41,7.96,50.5,98.6,86.1,78.53,0.0,0.0,True,6,2009-07
Allianz China A Shares AT RMB,MSCI China A Onshore NR USD,66,-0.2567,-0.6019,23.77,21.3,7.23,40.9,108.7,117.7,-12.41,0.0,0.0,True,3,2022-05
Janus Henderson Hrzn GlbTechLdrs A2USD,MSCI ACWI IT+COMM SVC NR USD,90,0.0036,0.0099,22.4,20.84,5.64,54.4,104.6,110.0,-2.11,0.0,0.0,True,2,2021-12
Fidelity Japan Value A2-Dis-JPY,TOPIX TR JPY,280,0.3885,1.8767,16.54,15.03,5.6,52.1,107.3,97.4,57.08,0.0,0.0,True,7,2005-09
FTGF RY US SmCp Opp A USD Acc,Russell 2000 Value TR USD,228,0.2645,1.153,25.3,21.04,7.42,55.3,115.4,113.1,20.12,0.0,0.0,True,7,2008-09
Franklin Biotechnology Discv A(acc)USD,NASDAQ Biotechnology,303,0.0798,0.4008,21.36,21.98,7.39,52.5,94.6,90.2,20.17,0.0,0.0,True,6,2007-11
JPMorgan China Eq Hi Inc (acc) - USD,MSCI China 10/40 A/B Sh 20% Cap NR USD,182,0.0698,0.2716,18.13,23.65,16.42,47.8,64.5,53.5,41.1,0.0,0.0,True,5,2012-10
JPM Income A mth RMB Hdg,Bloomberg US Agg Bond TR USD,76,0.2306,0.5803,9.27,5.88,6.84,57.9,114.3,94.6,8.67,0.0,0.0,True,2,2022-10
PineBridge Global Emerg Mkts Foc Eq A,MSCI EM NR EUR,248,-0.393,-1.7867,21.54,20.82,4.72,44.8,100.4,108.8,-34.04,0.0,0.0,True,10,2007-10
PineBridge Asia exJapan SmCap Eq A,MSCI AC Asia Pacific Ex JPN Small NR USD,241,0.0755,0.3383,21.34,22.32,7.96,48.1,92.4,86.7,17.63,0.0,0.0,True,6,2007-09
PineBridge Asia ex Japan Equity L,MSCI AC Asia Ex Japan NR USD,329,-0.0983,-0.5149,22.76,20.87,6.24,45.6,101.7,105.3,-24.04,0.0,0.0,True,11,2004-07
JPM Japan Equity J dist USD,TOPIX TR JPY,289,-0.1093,-0.5366,18.06,15.13,7.71,49.1,101.8,107.8,-27.64,0.0,0.0,True,9,2006-05
JPMorgan China Eq Hi Inc (mth) - USD,MSCI China 10/40 A/B Sh 20% Cap NR USD,116,-0.0725,-0.2253,13.19,24.64,14.45,48.3,52.7,45.6,10.34,0.0,0.0,True,3,2017-09
JPMorgan China Eq Hi Inc (mth) - RMB Hdg,MSCI China 10/40 A/B Sh 20% Cap NR USD,92,-0.0054,-0.015,17.11,26.23,14.64,51.1,61.1,54.5,14.53,0.0,0.0,True,2,2020-05
Schroder ISF Glb Em Mkt Opps A1 Acc USD,MSCI Emerging Markets 10-40 NR USD,232,0.1227,0.5396,20.14,21.16,7.64,52.2,92.0,85.7,24.76,0.0,0.0,True,3,2011-11
Schroder ISF Taiwanese Equity A1 Acc USD,TSEC TAIEX PR TWD,382,0.3937,2.2211,26.86,25.31,9.07,52.9,103.7,92.5,174.76,0.0,0.0,True,6,2003-01
PineBridge Greater China Equity A,MSCI Golden Dragon 10/40 NR USD,259,-0.026,-0.1207,20.55,26.41,13.38,51.4,71.0,63.7,23.35,0.0,0.0,True,6,2006-12
